# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-09-13 13:19:18 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09506000 VERDE RIVER NEAR CAMP VERDE, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09506000
#            TS   parameter     statistic     Description
#          5707       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	5707_00060_00003	5707_00060_00003_cd
USGS	09506000	2020-01-28	539	A
USGS	09506000	2020-01-29	528	A
USGS	09506000	2020-01-30	447	A
USGS	09506000	2020-01-31	388	A
USGS	09506000	2020-02-01	333	A
USGS	09506000	2020-02-02	296	A
USGS	09506000	2020-02-03	274	A
USGS	09506000	2020-02-04	267	A
USGS	09506000	2020-02-05	266	A
USGS	09506000	2020-02-06	254	A
USGS	09506000	2020-02-07	247	A
USGS	09506000	2020-02-08	238	A
USGS	09506000	2020-02-09	232	A
USGS	09506000	2020-02-10	229	A
USGS	09506000	2020-02-11	248	A
USGS	09506000	2020-02-12	237	A
USGS	09506000	2020-02-13	233	A
USGS	09506000	2020-02-14	231	A
USGS	09506000	2020-02-15	228	A
USGS	09506000	2020-02-16	223	A
USGS	09506000	2020-02-17	222	A
USGS	09506000	2020-02-18	222	A
USGS	09506000	2020-02-19	220	A
USGS	09506000	2020-02-20	222	A
USGS	09506000	2020-02-21	222	A
USGS	09506000	2020-02-22	234	A
USGS	09506000	2020-02-23	256	A
USGS	09506000	2020-02-24	704	A
USGS	09506000	2020-02-25	968	A
USGS	09506000	2020-02-26	846	A
USGS	09506000	2020-02-27	567	A
USGS	09506000	2020-02-28	410	A
USGS	09506000	2020-02-29	330	A
USGS	09506000	2020-03-01	300	A
USGS	09506000	2020-03-02	280	A
USGS	09506000	2020-03-03	269	A
USGS	09506000	2020-03-04	250	A
USGS	09506000	2020-03-05	238	A
USGS	09506000	2020-03-06	233	A
USGS	09506000	2020-03-07	229	A
USGS	09506000	2020-03-08	225	A
USGS	09506000	2020-03-09	225	A
USGS	09506000	2020-03-10	226	A
USGS	09506000	2020-03-11	563	A
USGS	09506000	2020-03-12	6070	A
USGS	09506000	2020-03-13	8640	A
USGS	09506000	2020-03-14	13100	A
USGS	09506000	2020-03-15	5820	A
USGS	09506000	2020-03-16	3110	A
USGS	09506000	2020-03-17	1720	A
USGS	09506000	2020-03-18	1120	A
USGS	09506000	2020-03-19	1290	A
USGS	09506000	2020-03-20	2440	A
USGS	09506000	2020-03-21	2800	A
USGS	09506000	2020-03-22	3710	A
USGS	09506000	2020-03-23	2830	A
USGS	09506000	2020-03-24	2200	A
USGS	09506000	2020-03-25	1870	A
USGS	09506000	2020-03-26	1460	A
USGS	09506000	2020-03-27	1050	A
USGS	09506000	2020-03-28	760	A
USGS	09506000	2020-03-29	574	A
USGS	09506000	2020-03-30	459	A
USGS	09506000	2020-03-31	387	A
USGS	09506000	2020-04-01	343	A
USGS	09506000	2020-04-02	295	A
USGS	09506000	2020-04-03	261	A
USGS	09506000	2020-04-04	235	A
USGS	09506000	2020-04-05	217	A
USGS	09506000	2020-04-06	210	A
USGS	09506000	2020-04-07	201	A
USGS	09506000	2020-04-08	191	A
USGS	09506000	2020-04-09	189	A
USGS	09506000	2020-04-10	180	A
USGS	09506000	2020-04-11	166	A
USGS	09506000	2020-04-12	168	A
USGS	09506000	2020-04-13	182	A
USGS	09506000	2020-04-14	462	A
USGS	09506000	2020-04-15	587	A
USGS	09506000	2020-04-16	382	A
USGS	09506000	2020-04-17	280	A
USGS	09506000	2020-04-18	232	A
USGS	09506000	2020-04-19	201	A
USGS	09506000	2020-04-20	184	A
USGS	09506000	2020-04-21	169	A
USGS	09506000	2020-04-22	155	A
USGS	09506000	2020-04-23	153	A
USGS	09506000	2020-04-24	148	A
USGS	09506000	2020-04-25	141	A
USGS	09506000	2020-04-26	136	A
USGS	09506000	2020-04-27	134	A
USGS	09506000	2020-04-28	129	A
USGS	09506000	2020-04-29	125	A
USGS	09506000	2020-04-30	121	A
USGS	09506000	2020-05-01	115	A
USGS	09506000	2020-05-02	102	A
USGS	09506000	2020-05-03	96.9	A
USGS	09506000	2020-05-04	92.6	A
USGS	09506000	2020-05-05	96.4	A
USGS	09506000	2020-05-06	98.0	A
USGS	09506000	2020-05-07	94.6	A
USGS	09506000	2020-05-08	84.9	A
USGS	09506000	2020-05-09	79.7	A
USGS	09506000	2020-05-10	85.0	A
USGS	09506000	2020-05-11	84.7	A
USGS	09506000	2020-05-12	84.0	A
USGS	09506000	2020-05-13	79.9	A
USGS	09506000	2020-05-14	76.6	A
USGS	09506000	2020-05-15	82.2	A
USGS	09506000	2020-05-16	84.6	A
USGS	09506000	2020-05-17	78.5	A
USGS	09506000	2020-05-18	78.4	A
USGS	09506000	2020-05-19	79.7	A
USGS	09506000	2020-05-20	76.6	A
USGS	09506000	2020-05-21	70.5	A
USGS	09506000	2020-05-22	70.6	A
USGS	09506000	2020-05-23	68.9	A
USGS	09506000	2020-05-24	71.5	A
USGS	09506000	2020-05-25	75.8	A
USGS	09506000	2020-05-26	74.1	A
USGS	09506000	2020-05-27	71.2	A
USGS	09506000	2020-05-28	63.1	A
USGS	09506000	2020-05-29	53.6	A
USGS	09506000	2020-05-30	48.1	A
USGS	09506000	2020-05-31	47.9	A
USGS	09506000	2020-06-01	49.7	A
USGS	09506000	2020-06-02	52.1	A
USGS	09506000	2020-06-03	54.0	A
USGS	09506000	2020-06-04	60.8	A
USGS	09506000	2020-06-05	58.3	A
USGS	09506000	2020-06-06	55.5	A
USGS	09506000	2020-06-07	54.8	A
USGS	09506000	2020-06-08	55.0	A
USGS	09506000	2020-06-09	56.7	A
USGS	09506000	2020-06-10	55.6	A
USGS	09506000	2020-06-11	54.1	A
USGS	09506000	2020-06-12	47.3	A
USGS	09506000	2020-06-13	48.0	A
USGS	09506000	2020-06-14	47.9	A
USGS	09506000	2020-06-15	45.4	A
USGS	09506000	2020-06-16	49.0	A
USGS	09506000	2020-06-17	52.6	A
USGS	09506000	2020-06-18	49.8	A
USGS	09506000	2020-06-19	47.7	A
USGS	09506000	2020-06-20	45.9	A
USGS	09506000	2020-06-21	46.4	A
USGS	09506000	2020-06-22	44.5	A
USGS	09506000	2020-06-23	41.7	A
USGS	09506000	2020-06-24	39.2	A:e
USGS	09506000	2020-06-25	41.2	A
USGS	09506000	2020-06-26	39.6	A
USGS	09506000	2020-06-27	33.1	A
USGS	09506000	2020-06-28	32.4	A
USGS	09506000	2020-06-29	32.6	A
USGS	09506000	2020-06-30	32.9	A
USGS	09506000	2020-07-01	35.9	A
USGS	09506000	2020-07-02	41.5	A
USGS	09506000	2020-07-03	42.4	A
USGS	09506000	2020-07-04	39.4	A
USGS	09506000	2020-07-05	38.8	A
USGS	09506000	2020-07-06	42.5	A
USGS	09506000	2020-07-07	42.3	A
USGS	09506000	2020-07-08	41.7	A
USGS	09506000	2020-07-09	38.3	A
USGS	09506000	2020-07-10	35.2	A
USGS	09506000	2020-07-11	35.6	A
USGS	09506000	2020-07-12	38.0	A
USGS	09506000	2020-07-13	37.4	A
USGS	09506000	2020-07-14	36.6	A
USGS	09506000	2020-07-15	35.1	A
USGS	09506000	2020-07-16	37.4	A
USGS	09506000	2020-07-17	40.6	A
USGS	09506000	2020-07-18	40.2	A
USGS	09506000	2020-07-19	41.7	A
USGS	09506000	2020-07-20	42.9	A
USGS	09506000	2020-07-21	39.6	A
USGS	09506000	2020-07-22	44.6	A
USGS	09506000	2020-07-23	50.0	A
USGS	09506000	2020-07-24	61.1	A
USGS	09506000	2020-07-25	130	A
USGS	09506000	2020-07-26	142	A
USGS	09506000	2020-07-27	107	A
USGS	09506000	2020-07-28	84.5	A
USGS	09506000	2020-07-29	71.3	A
USGS	09506000	2020-07-30	62.3	A
USGS	09506000	2020-07-31	51.0	A
USGS	09506000	2020-08-01	55.9	A
USGS	09506000	2020-08-02	51.9	A
USGS	09506000	2020-08-03	48.8	A
USGS	09506000	2020-08-04	45.4	A
USGS	09506000	2020-08-05	42.6	A
USGS	09506000	2020-08-06	43.3	A
USGS	09506000	2020-08-07	42.7	A
USGS	09506000	2020-08-08	38.2	A
USGS	09506000	2020-08-09	35.5	A
USGS	09506000	2020-08-10	36.6	A
USGS	09506000	2020-08-11	34.0	A
USGS	09506000	2020-08-12	33.7	A
USGS	09506000	2020-08-13	35.1	A
USGS	09506000	2020-08-14	37.3	A
USGS	09506000	2020-08-15	35.1	A
USGS	09506000	2020-08-16	33.2	A
USGS	09506000	2020-08-17	31.6	A
USGS	09506000	2020-08-18	30.5	A
USGS	09506000	2020-08-19	29.7	A
USGS	09506000	2020-08-20	34.2	A
USGS	09506000	2020-08-21	42.6	A
USGS	09506000	2020-08-22	46.0	A
USGS	09506000	2020-08-23	49.8	A
USGS	09506000	2020-08-24	59.9	A
USGS	09506000	2020-08-25	58.6	A
USGS	09506000	2020-08-26	59.8	A:e
USGS	09506000	2020-08-27	54.8	A
USGS	09506000	2020-08-28	46.3	A
USGS	09506000	2020-08-29	46.3	A
USGS	09506000	2020-08-30	52.9	A
USGS	09506000	2020-08-31	59.7	A
USGS	09506000	2020-09-01	65.8	A
USGS	09506000	2020-09-02	63.9	A
USGS	09506000	2020-09-03	61.3	A
USGS	09506000	2020-09-04	52.1	A
USGS	09506000	2020-09-05	48.1	A
USGS	09506000	2020-09-06	46.9	A
USGS	09506000	2020-09-07	41.2	A
USGS	09506000	2020-09-08	39.3	A
USGS	09506000	2020-09-09	37.5	A
USGS	09506000	2020-09-10	40.2	A
USGS	09506000	2020-09-11	46.1	A
USGS	09506000	2020-09-12	51.4	A
USGS	09506000	2020-09-13	54.8	A
USGS	09506000	2020-09-14	59.1	A
USGS	09506000	2020-09-15	60.0	A
USGS	09506000	2020-09-16	59.2	A
USGS	09506000	2020-09-17	59.2	A
USGS	09506000	2020-09-18	57.6	A
USGS	09506000	2020-09-19	56.1	A
USGS	09506000	2020-09-20	54.6	A
USGS	09506000	2020-09-21	58.1	A
USGS	09506000	2020-09-22	62.4	A
USGS	09506000	2020-09-23	67.1	A
USGS	09506000	2020-09-24	64.9	A
USGS	09506000	2020-09-25	60.8	A
USGS	09506000	2020-09-26	58.3	A
USGS	09506000	2020-09-27	62.4	A
USGS	09506000	2020-09-28	60.1	A
USGS	09506000	2020-09-29	55.5	A
USGS	09506000	2020-09-30	61.1	A
USGS	09506000	2020-10-01	62.4	A
USGS	09506000	2020-10-02	60.7	A
USGS	09506000	2020-10-03	59.8	A
USGS	09506000	2020-10-04	61.0	A
USGS	09506000	2020-10-05	64.3	A
USGS	09506000	2020-10-06	63.9	A
USGS	09506000	2020-10-07	64.7	A
USGS	09506000	2020-10-08	67.4	A
USGS	09506000	2020-10-09	66.9	A
USGS	09506000	2020-10-10	71.7	A
USGS	09506000	2020-10-11	75.5	A
USGS	09506000	2020-10-12	73.9	A
USGS	09506000	2020-10-13	72.8	A
USGS	09506000	2020-10-14	70.9	A
USGS	09506000	2020-10-15	73.0	A
USGS	09506000	2020-10-16	74.6	A
USGS	09506000	2020-10-17	74.9	A
USGS	09506000	2020-10-18	73.1	A
USGS	09506000	2020-10-19	75.8	A
USGS	09506000	2020-10-20	80.8	A
USGS	09506000	2020-10-21	81.3	A
USGS	09506000	2020-10-22	79.9	A
USGS	09506000	2020-10-23	83.1	A
USGS	09506000	2020-10-24	86.6	A
USGS	09506000	2020-10-25	93.3	A
USGS	09506000	2020-10-26	96.1	A
USGS	09506000	2020-10-27	103	A
USGS	09506000	2020-10-28	111	A
USGS	09506000	2020-10-29	114	A
USGS	09506000	2020-10-30	118	A
USGS	09506000	2020-10-31	119	A
USGS	09506000	2020-11-01	124	A
USGS	09506000	2020-11-02	123	A
USGS	09506000	2020-11-03	118	A
USGS	09506000	2020-11-04	121	A
USGS	09506000	2020-11-05	126	A
USGS	09506000	2020-11-06	127	A
USGS	09506000	2020-11-07	127	A
USGS	09506000	2020-11-08	134	A
USGS	09506000	2020-11-09	149	A
USGS	09506000	2020-11-10	151	A
USGS	09506000	2020-11-11	154	A
USGS	09506000	2020-11-12	154	A
USGS	09506000	2020-11-13	153	A
USGS	09506000	2020-11-14	151	A
USGS	09506000	2020-11-15	156	A
USGS	09506000	2020-11-16	155	A
USGS	09506000	2020-11-17	155	A
USGS	09506000	2020-11-18	147	A
USGS	09506000	2020-11-19	146	A
USGS	09506000	2020-11-20	146	A
USGS	09506000	2020-11-21	144	A
USGS	09506000	2020-11-22	145	A
USGS	09506000	2020-11-23	145	A
USGS	09506000	2020-11-24	145	A
USGS	09506000	2020-11-25	147	A
USGS	09506000	2020-11-26	153	A
USGS	09506000	2020-11-27	153	A
USGS	09506000	2020-11-28	157	A
USGS	09506000	2020-11-29	158	A
USGS	09506000	2020-11-30	159	A
USGS	09506000	2020-12-01	159	A
USGS	09506000	2020-12-02	157	A
USGS	09506000	2020-12-03	157	A
USGS	09506000	2020-12-04	159	A
USGS	09506000	2020-12-05	162	A
USGS	09506000	2020-12-06	164	A
USGS	09506000	2020-12-07	164	A
USGS	09506000	2020-12-08	161	A
USGS	09506000	2020-12-09	163	A
USGS	09506000	2020-12-10	171	A
USGS	09506000	2020-12-11	171	A
USGS	09506000	2020-12-12	172	A
USGS	09506000	2020-12-13	171	A
USGS	09506000	2020-12-14	170	A
USGS	09506000	2020-12-15	172	A
USGS	09506000	2020-12-16	176	A
USGS	09506000	2020-12-17	176	A
USGS	09506000	2020-12-18	182	A
USGS	09506000	2020-12-19	183	A
USGS	09506000	2020-12-20	183	A
USGS	09506000	2020-12-21	188	A
USGS	09506000	2020-12-22	185	A
USGS	09506000	2020-12-23	185	A
USGS	09506000	2020-12-24	181	A
USGS	09506000	2020-12-25	177	A
USGS	09506000	2020-12-26	181	A
USGS	09506000	2020-12-27	180	A
USGS	09506000	2020-12-28	180	A
USGS	09506000	2020-12-29	181	A
USGS	09506000	2020-12-30	182	A
USGS	09506000	2020-12-31	187	A
USGS	09506000	2021-01-01	188	A
USGS	09506000	2021-01-02	188	A
USGS	09506000	2021-01-03	188	A
USGS	09506000	2021-01-04	191	A
USGS	09506000	2021-01-05	201	A
USGS	09506000	2021-01-06	197	A
USGS	09506000	2021-01-07	195	A
USGS	09506000	2021-01-08	193	A
USGS	09506000	2021-01-09	193	A
USGS	09506000	2021-01-10	195	A
USGS	09506000	2021-01-11	194	A
USGS	09506000	2021-01-12	193	A
USGS	09506000	2021-01-13	192	A
USGS	09506000	2021-01-14	192	A
USGS	09506000	2021-01-15	192	A
USGS	09506000	2021-01-16	194	A
USGS	09506000	2021-01-17	189	A
USGS	09506000	2021-01-18	190	A
USGS	09506000	2021-01-19	194	A
USGS	09506000	2021-01-20	197	A
USGS	09506000	2021-01-21	198	A
USGS	09506000	2021-01-22	200	A
USGS	09506000	2021-01-23	203	A
USGS	09506000	2021-01-24	210	A
USGS	09506000	2021-01-25	225	A
USGS	09506000	2021-01-26	238	A
USGS	09506000	2021-01-27	228	A
USGS	09506000	2021-01-28	217	A
USGS	09506000	2021-01-29	216	A
USGS	09506000	2021-01-30	218	A
USGS	09506000	2021-01-31	217	A
USGS	09506000	2021-02-01	214	A
USGS	09506000	2021-02-02	212	A
USGS	09506000	2021-02-03	208	A
USGS	09506000	2021-02-04	204	A
USGS	09506000	2021-02-05	202	A
USGS	09506000	2021-02-06	201	A
USGS	09506000	2021-02-07	197	A
USGS	09506000	2021-02-08	196	A
USGS	09506000	2021-02-09	195	A
USGS	09506000	2021-02-10	194	A
USGS	09506000	2021-02-11	194	A
USGS	09506000	2021-02-12	195	A
USGS	09506000	2021-02-13	194	A
USGS	09506000	2021-02-14	195	A
USGS	09506000	2021-02-15	199	A
USGS	09506000	2021-02-16	199	A
USGS	09506000	2021-02-17	196	A
USGS	09506000	2021-02-18	193	A
USGS	09506000	2021-02-19	183	A
USGS	09506000	2021-02-20	182	A
USGS	09506000	2021-02-21	179	A
USGS	09506000	2021-02-22	180	A
USGS	09506000	2021-02-23	179	A
USGS	09506000	2021-02-24	170	A
USGS	09506000	2021-02-25	167	A
USGS	09506000	2021-02-26	167	A
USGS	09506000	2021-02-27	161	A
USGS	09506000	2021-02-28	158	A
USGS	09506000	2021-03-01	155	A
USGS	09506000	2021-03-02	150	A
USGS	09506000	2021-03-03	157	A
USGS	09506000	2021-03-04	165	A
USGS	09506000	2021-03-05	166	A
USGS	09506000	2021-03-06	162	A
USGS	09506000	2021-03-07	163	A
USGS	09506000	2021-03-08	159	A
USGS	09506000	2021-03-09	159	A
USGS	09506000	2021-03-10	159	A
USGS	09506000	2021-03-11	161	A
USGS	09506000	2021-03-12	167	A
USGS	09506000	2021-03-13	174	A
USGS	09506000	2021-03-14	187	A
USGS	09506000	2021-03-15	190	A
USGS	09506000	2021-03-16	196	A
USGS	09506000	2021-03-17	197	A
USGS	09506000	2021-03-18	198	A
USGS	09506000	2021-03-19	253	A
USGS	09506000	2021-03-20	461	A
USGS	09506000	2021-03-21	464	A
USGS	09506000	2021-03-22	419	A
USGS	09506000	2021-03-23	308	A
USGS	09506000	2021-03-24	248	A
USGS	09506000	2021-03-25	206	A
USGS	09506000	2021-03-26	187	A
USGS	09506000	2021-03-27	182	A
USGS	09506000	2021-03-28	174	A
USGS	09506000	2021-03-29	159	A
USGS	09506000	2021-03-30	151	A
USGS	09506000	2021-03-31	150	A
USGS	09506000	2021-04-01	146	A
USGS	09506000	2021-04-02	140	A
USGS	09506000	2021-04-03	135	A
USGS	09506000	2021-04-04	129	A
USGS	09506000	2021-04-05	130	A
USGS	09506000	2021-04-06	127	A
USGS	09506000	2021-04-07	127	A
USGS	09506000	2021-04-08	131	A
USGS	09506000	2021-04-09	127	A
USGS	09506000	2021-04-10	124	A
USGS	09506000	2021-04-11	111	A
USGS	09506000	2021-04-12	106	A
USGS	09506000	2021-04-13	105	A
USGS	09506000	2021-04-14	106	A
USGS	09506000	2021-04-15	101	A
USGS	09506000	2021-04-16	101	A
USGS	09506000	2021-04-17	105	A
USGS	09506000	2021-04-18	112	A
USGS	09506000	2021-04-19	115	A
USGS	09506000	2021-04-20	118	A
USGS	09506000	2021-04-21	112	A
USGS	09506000	2021-04-22	116	A
USGS	09506000	2021-04-23	109	A
USGS	09506000	2021-04-24	98.1	A
USGS	09506000	2021-04-25	96.7	A
USGS	09506000	2021-04-26	96.8	A
USGS	09506000	2021-04-27	103	A
USGS	09506000	2021-04-28	109	A
USGS	09506000	2021-04-29	112	A
USGS	09506000	2021-04-30	102	A
USGS	09506000	2021-05-01	93.4	A
USGS	09506000	2021-05-02	87.2	A
USGS	09506000	2021-05-03	91.3	A
USGS	09506000	2021-05-04	87.3	A
USGS	09506000	2021-05-05	90.6	A
USGS	09506000	2021-05-06	95.1	A
USGS	09506000	2021-05-07	87.5	A
USGS	09506000	2021-05-08	85.4	A
USGS	09506000	2021-05-09	82.7	A
USGS	09506000	2021-05-10	82.4	A
USGS	09506000	2021-05-11	79.0	A
USGS	09506000	2021-05-12	76.6	A
USGS	09506000	2021-05-13	75.1	A
USGS	09506000	2021-05-14	61.6	A
USGS	09506000	2021-05-15	61.2	A
USGS	09506000	2021-05-16	58.5	A
USGS	09506000	2021-05-17	56.3	A
USGS	09506000	2021-05-18	61.1	A
USGS	09506000	2021-05-19	66.9	A
USGS	09506000	2021-05-20	62.5	A
USGS	09506000	2021-05-21	61.6	A
USGS	09506000	2021-05-22	66.7	A
USGS	09506000	2021-05-23	72.1	A
USGS	09506000	2021-05-24	69.0	A
USGS	09506000	2021-05-25	72.0	A
USGS	09506000	2021-05-26	62.9	A
USGS	09506000	2021-05-27	58.8	A
USGS	09506000	2021-05-28	55.1	A
USGS	09506000	2021-05-29	51.9	A
USGS	09506000	2021-05-30	49.9	A
USGS	09506000	2021-05-31	51.8	A
USGS	09506000	2021-06-01	56.8	A
USGS	09506000	2021-06-02	57.9	P
USGS	09506000	2021-06-03	53.8	P
USGS	09506000	2021-06-04	52.0	P
USGS	09506000	2021-06-05	48.3	P
USGS	09506000	2021-06-06	45.3	P
USGS	09506000	2021-06-07	45.5	P
USGS	09506000	2021-06-08	43.5	P
USGS	09506000	2021-06-09	50.7	P
USGS	09506000	2021-06-10	55.3	P
USGS	09506000	2021-06-11	54.9	P
USGS	09506000	2021-06-12	50.5	P
USGS	09506000	2021-06-13	51.2	P
USGS	09506000	2021-06-14	54.1	P
USGS	09506000	2021-06-15	49.8	P
USGS	09506000	2021-06-16	46.0	P
USGS	09506000	2021-06-17	48.9	P
USGS	09506000	2021-06-18	47.4	P
USGS	09506000	2021-06-19	45.3	P
USGS	09506000	2021-06-20	44.6	P
USGS	09506000	2021-06-21	42.4	P
USGS	09506000	2021-06-22	41.4	P
USGS	09506000	2021-06-23	43.2	P
USGS	09506000	2021-06-24	46.7	P
USGS	09506000	2021-06-25	54.7	P
USGS	09506000	2021-06-26	59.4	P
USGS	09506000	2021-06-27	60.7	P
USGS	09506000	2021-06-28	58.8	P
USGS	09506000	2021-06-29	57.9	P
USGS	09506000	2021-06-30	53.6	P
USGS	09506000	2021-07-01	65.9	P
USGS	09506000	2021-07-02	67.1	P
USGS	09506000	2021-07-03	61.5	P
USGS	09506000	2021-07-04	61.6	P
USGS	09506000	2021-07-05	63.6	P
USGS	09506000	2021-07-06	70.3	P
USGS	09506000	2021-07-07	73.9	P
USGS	09506000	2021-07-08	59.1	P
USGS	09506000	2021-07-09	56.0	P
USGS	09506000	2021-07-10	53.5	P
USGS	09506000	2021-07-11	57.2	P
USGS	09506000	2021-07-12	56.0	P
USGS	09506000	2021-07-13	288	P
USGS	09506000	2021-07-14	145	P
USGS	09506000	2021-07-15	124	P
USGS	09506000	2021-07-16	167	P
USGS	09506000	2021-07-17	165	P
USGS	09506000	2021-07-18	196	P
USGS	09506000	2021-07-19	219	P
USGS	09506000	2021-07-20	243	P
USGS	09506000	2021-07-21	200	P:e
USGS	09506000	2021-07-22	176	P:e
USGS	09506000	2021-07-23	163	P:e
USGS	09506000	2021-07-24	1120	P
USGS	09506000	2021-07-25	5270	P
USGS	09506000	2021-07-26	3590	P
USGS	09506000	2021-07-27	1490	P
USGS	09506000	2021-07-28	659	P
USGS	09506000	2021-07-29	444	P
USGS	09506000	2021-07-30	373	P
USGS	09506000	2021-07-31	357	P
USGS	09506000	2021-08-01	500	P
USGS	09506000	2021-08-02	430	P
USGS	09506000	2021-08-03	315	P
USGS	09506000	2021-08-04	229	P
USGS	09506000	2021-08-05	185	P
USGS	09506000	2021-08-06	159	P
USGS	09506000	2021-08-07	135	P
USGS	09506000	2021-08-08	123	P
USGS	09506000	2021-08-09	111	P
USGS	09506000	2021-08-10	107	P
USGS	09506000	2021-08-11	119	P
USGS	09506000	2021-08-12	256	P
USGS	09506000	2021-08-13	244	P
USGS	09506000	2021-08-14	425	P
USGS	09506000	2021-08-15	263	P
USGS	09506000	2021-08-16	210	P
USGS	09506000	2021-08-17	221	P
USGS	09506000	2021-08-18	419	P
USGS	09506000	2021-08-19	3520	P
USGS	09506000	2021-08-20	1890	P
USGS	09506000	2021-08-21	655	P
USGS	09506000	2021-08-22	399	P
USGS	09506000	2021-08-23	284	P
USGS	09506000	2021-08-24	225	P
USGS	09506000	2021-08-25	177	P
USGS	09506000	2021-08-26	162	P
USGS	09506000	2021-08-27	145	P
USGS	09506000	2021-08-28	136	P
USGS	09506000	2021-08-29	128	P
USGS	09506000	2021-08-30	120	P
USGS	09506000	2021-08-31	113	P
USGS	09506000	2021-09-01	215	P
USGS	09506000	2021-09-02	176	P
USGS	09506000	2021-09-03	185	P
USGS	09506000	2021-09-04	164	P
USGS	09506000	2021-09-05	141	P
USGS	09506000	2021-09-06	124	P
USGS	09506000	2021-09-07	116	P
USGS	09506000	2021-09-08	108	P
USGS	09506000	2021-09-09	104	P
USGS	09506000	2021-09-10	98.5	P
USGS	09506000	2021-09-11	96.7	P
USGS	09506000	2021-09-12	95.2	P
